,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osmid,central city,city,osmname,,surface,osmwikipedia,osmlink,category,lat,lon,,,,,,,,,,,,,,,,,,,
53177291,Dijon,Fontenay,Église abbatiale de l'Abbaye de Fontenay,,m3,,,,,,,,,,,,,,,,,,,,,,,,
53177291,Dijon,Fontenay,Église abbatiale de l'Abbaye de Fontenay,,guestimate,,,,,,0,0,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
118302845,Dijon,Pogny,Église de la Nativité-de-Notre-Dame,river,1629.889568,https://fr.wikipedia.org/wiki/%C3%89glise_de_la_Nativit%C3%A9-de-Notre-Dame,http://www.openstreetmap.org/way/118302845,parish,47.19391181,5.38820486,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
118302845,Dijon,Pogny,Église de la Nativité-de-Notre-Dame,,year,,,,,,1180,1200,1450,1550,,,,,,,,,,,,,,,
118302845,Dijon,Pogny,Église de la Nativité-de-Notre-Dame,,surface,,,,,,0,800,,800,,,,,,,,,,,,,,,
118302845,Dijon,Pogny,Église de la Nativité-de-Notre-Dame,,height,,,,,,13,13,13,13,,,,,,,,,,,,,,,
118302845,Dijon,Pogny,Église de la Nativité-de-Notre-Dame,,m3,,,,,,,,,,,,,,,,,,,,,,,,
118302845,Dijon,Pogny,Église de la Nativité-de-Notre-Dame,,guestimate,,,,,,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117627973,Dijon,Villiers-le-duc,Ancienne Abbaye du Val des Choues,land,5691.420229,https://fr.wikipedia.org/wiki/Abbaye_du_Val_des_Choues,http://www.openstreetmap.org/way/117627973,conventual,47.77142275,4.753857178,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
117627973,Dijon,Villiers-le-duc,Ancienne Abbaye du Val des Choues,,year,,,,,,1193,1250,,,,,,,,,,,,,,,,,
117627973,Dijon,Villiers-le-duc,Ancienne Abbaye du Val des Choues,,surface,,,,,,0,800,,,,,,,,,,,,,,,,,
117627973,Dijon,Villiers-le-duc,Ancienne Abbaye du Val des Choues,,height,,,,,,13,13,,,,,,,,,,,,,,,,,
117627973,Dijon,Villiers-le-duc,Ancienne Abbaye du Val des Choues,,m3,,,,,,,,,,,,,,,,,,,,,,,,
117627973,Dijon,Villiers-le-duc,Ancienne Abbaye du Val des Choues,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161444380,Maastricht,Borgloon,Sint-Odulphuskerk,land,1001.937944,https://nl.wikipedia.org/wiki/Sint-Odulfuskerk_(Borgloon),http://www.openstreetmap.org/way/161444380,other,50.80122299,5.344999265,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
161444380,Maastricht,Borgloon,Sint-Odulphuskerk,,year,,,,,,950,1025,1380,1420,,,,,,,,,,,,,,,
161444380,Maastricht,Borgloon,Sint-Odulphuskerk,,surface,,,,,,0,400,,200,,,,,,,,,,,,,,,
161444380,Maastricht,Borgloon,Sint-Odulphuskerk,,height,,,,,,9,9,14,14,,,,,,,,,,,,,,,
161444380,Maastricht,Borgloon,Sint-Odulphuskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
161444380,Maastricht,Borgloon,Sint-Odulphuskerk,,guestimate,,,,,,1,1,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211939518,Maastricht,Rekem,Sint-Pieterskerk,land,1010.289756,https://nl.wikipedia.org/wiki/Museumkerk_Sint_Pieter_(Rekem),http://www.openstreetmap.org/way/211939518,parish,50.92232589,5.694295242,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
211939518,Maastricht,Rekem,Sint-Pieterskerk,,year,,,,,,989,1000,1231,1250,1460,1470,,,,,,,,,,,,,
211939518,Maastricht,Rekem,Sint-Pieterskerk,,surface,,,,,,0,80,0,150,0,280,,,,,,,,,,,,,
211939518,Maastricht,Rekem,Sint-Pieterskerk,,height,,,,,,4,4,6,6,8,8,,,,,,,,,,,,,
211939518,Maastricht,Rekem,Sint-Pieterskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
211939518,Maastricht,Rekem,Sint-Pieterskerk,,guestimate,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115563336,Maastricht,neerpelt ,Sint-Monulphus en Gondulphuskerk,land,1021.567208,https://nl.wikipedia.org/wiki/Sint-Monulphus_en_Gondulphuskerk_(Sint-Huibrechts-Lille),http://www.openstreetmap.org/way/115563336,parish,51.22586116,5.485196965,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
115563336,Maastricht,neerpelt ,Sint-Monulphus en Gondulphuskerk,,year,,,,,,1000,1200,1300,1400,,,,,,,,,,,,,,,
115563336,Maastricht,neerpelt ,Sint-Monulphus en Gondulphuskerk,,surface,,,,,,0,150,0,280,,,,,,,,,,,,,,,
115563336,Maastricht,neerpelt ,Sint-Monulphus en Gondulphuskerk,,height,,,,,,6,6,8,8,,,,,,,,,,,,,,,
115563336,Maastricht,neerpelt ,Sint-Monulphus en Gondulphuskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
115563336,Maastricht,neerpelt ,Sint-Monulphus en Gondulphuskerk,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115700795,Maastricht,Herve,Église Saint-Jean-Baptiste,land,1063.477244,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Jean-Baptiste_de_Herve,http://www.openstreetmap.org/way/115700795,parish,50.63960524,5.794888709,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
115700795,Maastricht,Herve,Église Saint-Jean-Baptiste,,year,,,,,,1200,1300,,,,,,,,,,,,,,,,,
115700795,Maastricht,Herve,Église Saint-Jean-Baptiste,,surface,,,,,,0,580,,,,,,,,,,,,,,,,,
115700795,Maastricht,Herve,Église Saint-Jean-Baptiste,,height,,,,,,11,11,,,,,,,,,,,,,,,,,
115700795,Maastricht,Herve,Église Saint-Jean-Baptiste,,m3,,,,,,,,,,,,,,,,,,,,,,,,
115700795,Maastricht,Herve,Église Saint-Jean-Baptiste,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
231109653,Maastricht,bilzen,Sint-Mauritiuskerk,land,1064.807124,https://nl.wikipedia.org/wiki/Sint-Mauritiuskerk_(Bilzen),http://www.openstreetmap.org/way/231109653,parish,50.87063489,5.517666877,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
231109653,Maastricht,bilzen,Sint-Mauritiuskerk,,year,,,,,,700,900,1000,1100,1101,1200,,,,,,,,,,,,,
231109653,Maastricht,bilzen,Sint-Mauritiuskerk,,surface,,,,,,0,90,0,120,,40,,,,,,,,,,,,,
231109653,Maastricht,bilzen,Sint-Mauritiuskerk,,height,,,,,,4,4,6,6,6,6,,,,,,,,,,,,,
231109653,Maastricht,bilzen,Sint-Mauritiuskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
231109653,Maastricht,bilzen,Sint-Mauritiuskerk,,guestimate,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109836047,Maastricht,maaseik,Sint-Catharinakerk,river,1066.403144,https://nl.wikipedia.org/wiki/Sint-Catharinakerk_(Maaseik),http://www.openstreetmap.org/way/109836047,conventual,51.09503663,5.794348523,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
109836047,Maastricht,maaseik,Sint-Catharinakerk,,year,,,,,,1200,1300,,,,,,,,,,,,,,,,,
109836047,Maastricht,maaseik,Sint-Catharinakerk,,surface,,,,,,0,580,,,,,,,,,,,,,,,,,
109836047,Maastricht,maaseik,Sint-Catharinakerk,,height,,,,,,11,11,,,,,,,,,,,,,,,,,
109836047,Maastricht,maaseik,Sint-Catharinakerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
109836047,Maastricht,maaseik,Sint-Catharinakerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87316834,Maastricht,Juelich,Sankt Mariä Himmelfahrt,river,1079.835873,https://de.wikipedia.org/wiki/St._Mari%C3%A4_Himmelfahrt_(J%C3%BClich),http://www.openstreetmap.org/way/87316834,parish,50.92179155,6.358822576,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
87316834,Maastricht,Juelich,Sankt Mariä Himmelfahrt,,year,,,,,,900,1000,1100,1200,1201,1300,,,,,,,,,,,,,
87316834,Maastricht,Juelich,Sankt Mariä Himmelfahrt,,surface,,,,,,0,310,0,480,,100,,,,,,,,,,,,,
87316834,Maastricht,Juelich,Sankt Mariä Himmelfahrt,,height,,,,,,8,8,11,11,11,11,,,,,,,,,,,,,
87316834,Maastricht,Juelich,Sankt Mariä Himmelfahrt,,m3,,,,,,,,,,,,,,,,,,,,,,,,
87316834,Maastricht,Juelich,Sankt Mariä Himmelfahrt,,guestimate,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231085704,Maastricht,Würselen-Bardenberg.,St. Petrus und Paulus,river,1087.386298,de.wikipedia.org/wiki/Peter-und-Paul-Kirche_(Bardenberg),http://www.openstreetmap.org/way/231085704,parish,50.84136189,6.115321998,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
231085704,Maastricht,Würselen-Bardenberg.,St. Petrus und Paulus,,year,,,,,,900,1000,,,,,,,,,,,,,,,,,
231085704,Maastricht,Würselen-Bardenberg.,St. Petrus und Paulus,,surface,,,,,,0,580,,,,,,,,,,,,,,,,,
231085704,Maastricht,Würselen-Bardenberg.,St. Petrus und Paulus,,height,,,,,,11,11,,,,,,,,,,,,,,,,,
231085704,Maastricht,Würselen-Bardenberg.,St. Petrus und Paulus,,m3,,,,,,,,,,,,,,,,,,,,,,,,
231085704,Maastricht,Würselen-Bardenberg.,St. Petrus und Paulus,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158417502,Maastricht,Dolhain,Notre dame,river,1089.810238,https://nl.wikipedia.org/wiki/Bestand:Limbourg_-_Eglise_de_la_Visitation_de_Notre-Dame.JPG,http://www.openstreetmap.org/way/158417502,parish,50.61949785,5.938989947,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
158417502,Maastricht,Dolhain,Notre dame,,year,,,,,,800,900,1200,1300,,,,,,,,,,,,,,,
158417502,Maastricht,Dolhain,Notre dame,,surface,,,,,,0,310,0,580,,,,,,,,,,,,,,,
158417502,Maastricht,Dolhain,Notre dame,,height,,,,,,8,8,11,11,,,,,,,,,,,,,,,
158417502,Maastricht,Dolhain,Notre dame,,m3,,,,,,,,,,,,,,,,,,,,,,,,
158417502,Maastricht,Dolhain,Notre dame,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118829449,Maastricht,Aldenhoven,St. Martin,land,1092.820642,de.wikipedia.org/wiki/St._Martin_(Aldenhoven),http://www.openstreetmap.org/way/118829449,parish,50.89521779,6.282691053,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
118829449,Maastricht,Aldenhoven,St. Martin,,year,,,,,,1000,1100,,,,,,,,,,,,,,,,,
118829449,Maastricht,Aldenhoven,St. Martin,,surface,,,,,,0,310,,,,,,,,,,,,,,,,,
118829449,Maastricht,Aldenhoven,St. Martin,,height,,,,,,8,8,,,,,,,,,,,,,,,,,
118829449,Maastricht,Aldenhoven,St. Martin,,m3,,,,,,,,,,,,,,,,,,,,,,,,
118829449,Maastricht,Aldenhoven,St. Martin,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241707332,Maastricht,Rotem,Sint-Monulphus en Sint-Gondulphus-kerk,land,1093.330838,nl.wikipedia.org/wiki/Sint-Monulphus_en_Gondulphuskerk_(Rotem),http://www.openstreetmap.org/way/241707332,parish,51.05238651,5.737542551,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
241707332,Maastricht,Rotem,Sint-Monulphus en Sint-Gondulphus-kerk,,year,,,,,,1150,1200,,,,,,,,,,,,,,,,,
241707332,Maastricht,Rotem,Sint-Monulphus en Sint-Gondulphus-kerk,,surface,,,,,,0,580,,,,,,,,,,,,,,,,,
241707332,Maastricht,Rotem,Sint-Monulphus en Sint-Gondulphus-kerk,,height,,,,,,11,11,,,,,,,,,,,,,,,,,
241707332,Maastricht,Rotem,Sint-Monulphus en Sint-Gondulphus-kerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
241707332,Maastricht,Rotem,Sint-Monulphus en Sint-Gondulphus-kerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315790039,Maastricht,Alsdorf,St. Castor,land,1094.107758,https://de.wikipedia.org/wiki/St._Castor_(Alsdorf),http://www.openstreetmap.org/way/315790039,,50.87860739,6.163658184,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
315790039,Maastricht,Alsdorf,St. Castor,,year,,,,,,1200,1300,1460,1500,,,,,,,,,,,,,,,
315790039,Maastricht,Alsdorf,St. Castor,,surface,, ,,,,0,400,,180,,,,,,,,,,,,,,,
315790039,Maastricht,Alsdorf,St. Castor,,height,,,,,,11,11,11,11,,,,,,,,,,,,,,,
315790039,Maastricht,Alsdorf,St. Castor,,m3,,,,,,,,,,,,,,,,,,,,,,,,
315790039,Maastricht,Alsdorf,St. Castor,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277080277,Maastricht,margraten,Sint Margaritakerk,land,1095.267133,https://nl.wikipedia.org/wiki/Sint-Margaritakerk_(Margraten),http://www.openstreetmap.org/way/277080277,parish,50.820254,5.8210316,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
277080277,Maastricht,margraten,Sint Margaritakerk,,year,,,,,,1200,1300,1301,1400,1401,1500,,,,,,,,,,,,,
277080277,Maastricht,margraten,Sint Margaritakerk,,surface,,,,,,0,400,,80,,100,,,,,,,,,,,,,
277080277,Maastricht,margraten,Sint Margaritakerk,,height,,,,,,11,11,11,11,11,11,,,,,,,,,,,,,
277080277,Maastricht,margraten,Sint Margaritakerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
277080277,Maastricht,margraten,Sint Margaritakerk,,guestimate,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117472714,Maastricht,dessel,sint niklaaskerk,land,1096.664394,http://www.kerkeninvlaanderen.be/pages/kerk_00384.htm,http://www.openstreetmap.org/way/117472714,parish,51.24007705,5.113215542,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
117472714,Maastricht,dessel,sint niklaaskerk,,year,,,,,,1460,1500,,,,,,,,,,,,,,,,,
117472714,Maastricht,dessel,sint niklaaskerk,,surface,,,,,,0,600,,,,,,,,,,,,,,,,,
117472714,Maastricht,dessel,sint niklaaskerk,,height,,,,,,14,14,,,,,,,,,,,,,,,,,
117472714,Maastricht,dessel,sint niklaaskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
117472714,Maastricht,dessel,sint niklaaskerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220072164,Maastricht,diepenbeek,Sint-Servaaskerk,river,1098.286976,https://nl.wikipedia.org/wiki/Sint-Servatiuskerk_(Diepenbeek),http://www.openstreetmap.org/way/220072164,parish,50.90816051,5.419630894,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
220072164,Maastricht,diepenbeek,Sint-Servaaskerk,,year,,,,,,1000,1100,,,,,,,,,,,,,,,,,
220072164,Maastricht,diepenbeek,Sint-Servaaskerk,,surface,,,,,,0,310,,,,,,,,,,,,,,,,,
220072164,Maastricht,diepenbeek,Sint-Servaaskerk,,height,,,,,,8,8,,,,,,,,,,,,,,,,,
220072164,Maastricht,diepenbeek,Sint-Servaaskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
220072164,Maastricht,diepenbeek,Sint-Servaaskerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285097427,Maastricht,born ,h. martinus,river,1099.744964,http://www.kerkgebouwen-in-limburg.nl/kerken/born/martinus,http://www.openstreetmap.org/way/285097427,parish,51.03038419,5.808174171,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
285097427,Maastricht,born ,h. martinus,,year,,,,,,1000,1100,1300,1500,,,,,,,,,,,,,,,
285097427,Maastricht,born ,h. martinus,,surface,,,,,,0,310,0,580,,,,,,,,,,,,,,,
285097427,Maastricht,born ,h. martinus,,height,,,,,,8,8,11,11,,,,,,,,,,,,,,,
285097427,Maastricht,born ,h. martinus,,m3,,,,,,,,,,,,,,,,,,,,,,,,
285097427,Maastricht,born ,h. martinus,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25696461,Maastricht,beeck,Pfarrkirche St. Vinzentius,river,1100.098542,https://de.wikipedia.org/wiki/St._Vincentius_(Beeck),http://www.openstreetmap.org/way/25696461,parish,51.13210407,6.306306785,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
25696461,Maastricht,beeck,Pfarrkirche St. Vinzentius,,year,,,,,,1450,1500,,,,,,,,,,,,,,,,,
25696461,Maastricht,beeck,Pfarrkirche St. Vinzentius,,surface,,,,,,0,1100,,,,,,,,,,,,,,,,,
25696461,Maastricht,beeck,Pfarrkirche St. Vinzentius,,height,,,,,,14,14,,,,,,,,,,,,,,,,,
25696461,Maastricht,beeck,Pfarrkirche St. Vinzentius,,m3,,,,,,,,,,,,,,,,,,,,,,,,
25696461,Maastricht,beeck,Pfarrkirche St. Vinzentius,,guestimate,,,,,,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344788825,Maastricht,Baesweiler,St. Petrus,land,1107.461621,"http://wiki-de.genealogy.net/Baesweiler,_St._Petrus",http://www.openstreetmap.org/way/344788825,parish,50.90651824,6.18238488,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
344788825,Maastricht,Baesweiler,St. Petrus,,year,,,,,,1300,1500,,,,,,,,,,,,,,,,,
344788825,Maastricht,Baesweiler,St. Petrus,,surface,,,,,,0,580,,,,,,,,,,,,,,,,,
344788825,Maastricht,Baesweiler,St. Petrus,,height,,,,,,11,11,,,,,,,,,,,,,,,,,
344788825,Maastricht,Baesweiler,St. Petrus,,m3,,,,,,,,,,,,,,,,,,,,,,,,
344788825,Maastricht,Baesweiler,St. Petrus,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260768438,Maastricht,Hückelhoven,Pfarrkirche St. Gereon,river,1112.830326,de.wikipedia.org/wiki/Liste_der_Baudenkmäler_in_Hückelhoven,http://www.openstreetmap.org/way/260768438,parish,51.00302854,6.242288121,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
260768438,Maastricht,Hückelhoven,Pfarrkirche St. Gereon,,year,,,,,,1200,1240,1400,1500,,,,,,,,,,,,,,,
260768438,Maastricht,Hückelhoven,Pfarrkirche St. Gereon,,surface,,,,,,0,310,0,580,,,,,,,,,,,,,,,
260768438,Maastricht,Hückelhoven,Pfarrkirche St. Gereon,,height,,,,,,8,8,11,11,,,,,,,,,,,,,,,
260768438,Maastricht,Hückelhoven,Pfarrkirche St. Gereon,,m3,,,,,,,,,,,,,,,,,,,,,,,,
260768438,Maastricht,Hückelhoven,Pfarrkirche St. Gereon,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277027125,Maastricht,Thorn,Sint-Michaëlkerk,land,1119.815932,nl.wikipedia.org/wiki/Sint-Michaëlskerk_(Thorn),http://www.openstreetmap.org/way/277027125,conventual,51.16059296,5.84197485,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
277027125,Maastricht,Thorn,Sint-Michaëlkerk,,year,,,,,,975,1025,1300,1400,,,,,,,,,,,,,,,
277027125,Maastricht,Thorn,Sint-Michaëlkerk,,surface,,,,,,0,310,0,580,,,,,,,,,,,,,,,
277027125,Maastricht,Thorn,Sint-Michaëlkerk,,height,,,,,,8,8,11,11,,,,,,,,,,,,,,,
277027125,Maastricht,Thorn,Sint-Michaëlkerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
277027125,Maastricht,Thorn,Sint-Michaëlkerk,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,
289591884,Maastricht,haelen,sint lambertuskerk,river,1133.708934,nl.wikipedia.org/wiki/Sint-Lambertuskerk_(Haelen),http://www.openstreetmap.org/way/289591884,parish,51.2363909,5.957760714,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
289591884,Maastricht,haelen,sint lambertuskerk,,year,,,,,,1200,1300,,,,,,,,,,,,,,,,,
289591884,Maastricht,haelen,sint lambertuskerk,,surface,,,,,,0,580,,,,,,,,,,,,,,,,,
289591884,Maastricht,haelen,sint lambertuskerk,,height,,,,,,11,11,,,,,,,,,,,,,,,,,
289591884,Maastricht,haelen,sint lambertuskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
289591884,Maastricht,haelen,sint lambertuskerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224214972,Maastricht,hoesselt,Sint-Stephanuskerk,land,1135.471706,https://nl.wikipedia.org/wiki/Sint-Stephanuskerk_(Hoeselt),http://www.openstreetmap.org/way/224214972,parish,50.85035196,5.488305905,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
224214972,Maastricht,hoesselt,Sint-Stephanuskerk,,year,,,,,,900,1000,1200,1300,,,,,,,,,,,,,,,
224214972,Maastricht,hoesselt,Sint-Stephanuskerk,,surface,,,,,,0,310,0,580,,,,,,,,,,,,,,,
224214972,Maastricht,hoesselt,Sint-Stephanuskerk,,height,,,,,,8,8,11,11,,,,,,,,,,,,,,,
224214972,Maastricht,hoesselt,Sint-Stephanuskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
224214972,Maastricht,hoesselt,Sint-Stephanuskerk,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50039723,Maastricht,echt,St. Landricuskerk,land,1150.624629,http://www.kerkgebouwen-in-limburg.nl/kerken/echt/landricus,http://www.openstreetmap.org/way/50039723,parish,51.10706408,5.867427582,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
50039723,Maastricht,echt,St. Landricuskerk,,year,,,,,,1400,1500,,,,,,,,,,,,,,,,,
50039723,Maastricht,echt,St. Landricuskerk,,surface,,,,,,0,800,,,,,,,,,,,,,,,,,
50039723,Maastricht,echt,St. Landricuskerk,,height,,,,,,16,16,,,,,,,,,,,,,,,,,
50039723,Maastricht,echt,St. Landricuskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
50039723,Maastricht,echt,St. Landricuskerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277353810,Maastricht,schinveld,Heilige Eligius,land,1154.065155,http://www.kerkgebouwen-in-limburg.nl/kerken/schinveld/eligius,http://www.openstreetmap.org/way/277353810,parish,50.96902128,5.977654474,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
277353810,Maastricht,schinveld,Heilige Eligius,,year,,, ,,,1480,1520,,,,,,,,,,,,,,,,,
277353810,Maastricht,schinveld,Heilige Eligius,,surface,,,,,,0,640,,,,,,,,,,,,,,,,,
277353810,Maastricht,schinveld,Heilige Eligius,,height,,,,,,11,11,,,,,,,,,,,,,,,,,
277353810,Maastricht,schinveld,Heilige Eligius,,m3,,,,,,,,,,,,,,,,,,,,,,,,
277353810,Maastricht,schinveld,Heilige Eligius,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87243186,Maastricht,bree,Sint-Michielskerk,land,1161.471693,https://nl.wikipedia.org/wiki/Sint-Michielskerk_(Bree),http://www.openstreetmap.org/way/87243186,other,51.14121746,5.597793187,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
87243186,Maastricht,bree,Sint-Michielskerk,,year,,,,,,1000,1100,1400,1550,,,,,,,,,,,,,,,
87243186,Maastricht,bree,Sint-Michielskerk,,surface,,,,,,0,530,0,1000,,,,,,,,,,,,,,,
87243186,Maastricht,bree,Sint-Michielskerk,,height,,,,,,11,11,14,14,,,,,,,,,,,,,,,
87243186,Maastricht,bree,Sint-Michielskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
87243186,Maastricht,bree,Sint-Michielskerk,,guestimate,,,,,,1,1,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282708124,Maastricht,kerkrade,Sint Lambertus,land,1162.198939,https://nl.wikipedia.org/wiki/Sint-Lambertuskerk_(Kerkrade),http://www.openstreetmap.org/way/282708124,parish,50.86493587,6.060442997,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
282708124,Maastricht,kerkrade,Sint Lambertus,,year,,,,,,1050,1108,,,,,,,,,,,,,,,,,
282708124,Maastricht,kerkrade,Sint Lambertus,,surface,,,,,,0,640,,,,,,,,,,,,,,,,,
282708124,Maastricht,kerkrade,Sint Lambertus,,height,,,,,,11,11,,,,,,,,,,,,,,,,,
282708124,Maastricht,kerkrade,Sint Lambertus,,m3,,,,,,,,,,,,,,,,,,,,,,,,
282708124,Maastricht,kerkrade,Sint Lambertus,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276721712,Maastricht,bocholtz,Jacobus de Meerderekerk,land,1165.821544,nl.wikipedia.org/wiki/Jacobus_de_Meerderekerk_(Bocholtz),http://www.openstreetmap.org/way/276721712,other,50.81821463,6.006820428,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
276721712,Maastricht,bocholtz,Jacobus de Meerderekerk,,year,,,,,,1200,1300,1400,1500,,,,,,,,,,,,,,,
276721712,Maastricht,bocholtz,Jacobus de Meerderekerk,,surface,,,,,,0,340,0,640,,,,,,,,,,,,,,,
276721712,Maastricht,bocholtz,Jacobus de Meerderekerk,,height,,,,,,8,8,11,11,,,,,,,,,,,,,,,
276721712,Maastricht,bocholtz,Jacobus de Meerderekerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
276721712,Maastricht,bocholtz,Jacobus de Meerderekerk,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
