osmid	city	osmname	surface	osmwikipedia	osmlink	category	mendicants	lat	lon																				
58617235	"s Gravenhage (Den Haag, 's Gravenhage)"	Grote Kerk	height							10	10	26	26	26	26														
58617235	"s Gravenhage (Den Haag, 's Gravenhage)"	Grote Kerk	m3																										
58617235	"s Gravenhage (Den Haag, 's Gravenhage)"	Grote Kerk	guestimate							1	1	1	1	1	1														
																													
271108474	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	Sint-Jacobus de Meerderekerk	1200.315196	nl.wikipedia.org/wiki/Sint-Jacobus_de_Meerderekerk_(Den_Dungen)	http://www.openstreetmap.org/way/271108474	parish	0	51.66438928	5.368499281	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
271108474	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	Sint-Jacobus de Meerderekerk	year							1380	1390	1452	1460																
271108474	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	Sint-Jacobus de Meerderekerk	surface							0	320	0	600																
271108474	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	Sint-Jacobus de Meerderekerk	height							8	8	11	11																
271108474	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	Sint-Jacobus de Meerderekerk	m3																										
271108474	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	Sint-Jacobus de Meerderekerk	guestimate							1	1	1	1																
																													
272335462	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	DePetrus	2236.118538	nl.wikipedia.org/wiki/Sint-Petruskerk_(Vught)	http://www.openstreetmap.org/way/272335462	parish	0	51.65814117	5.297999084	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
272335462	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	DePetrus	year							950	1000	1400	1420																
272335462	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	DePetrus	surface							0	330	0	620																
272335462	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	DePetrus	height							8	8	11	11																
272335462	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	DePetrus	m3																										
272335462	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	DePetrus	guestimate							1	1	1	1																
																													
268259385	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	Sint-Janskathedraal	5013.83289	nl.wikipedia.org/wiki/Sint-Janskathedraal_('s-Hertogenbosch)	http://www.openstreetmap.org/way/268259385	parish	0	51.68806877	5.308448204	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
268259385	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	Sint-Janskathedraal	year							1220	1340	1370	1530																
268259385	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	Sint-Janskathedraal	surface							0	2100	0	5000																
268259385	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	Sint-Janskathedraal	height							21	21	29	29																
268259385	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	Sint-Janskathedraal	m3																										
268259385	"s Hertogenbosch (Den Bosch, 's Hertogenbosch)"	Sint-Janskathedraal	guestimate							1	1	1	1																
																													
259942288	Capua	Chiesa dell'Annunziata	1358.310068	https://it.wikipedia.org/wiki/Capua#Abbazia_Benedettina	http://www.openstreetmap.org/way/259942288	conventual	0	41.10709685	14.21285391	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
259942288	Capua	Chiesa dell'Annunziata	year							1280	1300																		
259942288	Capua	Chiesa dell'Annunziata	surface							0	1200																		
259942288	Capua	Chiesa dell'Annunziata	height							19	19																		
259942288	Capua	Chiesa dell'Annunziata	m3																										
259942288	Capua	Chiesa dell'Annunziata	guestimate							1	1																		
																													
364927723	Capua	Cattedrale dei Santi Stefano ed Agata	2518.013153	https://www.weagoo.com/it/card/12567/cattedrale-dei-santi-stefano-ed-agata	http://www.openstreetmap.org/way/364927723	cathedral	0	41.10909344	14.21074408	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
364927723	Capua	Cattedrale dei Santi Stefano ed Agata	year							500	600	856	880	900	1000	1080	1120	1400	1500										
364927723	Capua	Cattedrale dei Santi Stefano ed Agata	surface							0	1100	0	1300	0	1500	0	1800		700										
364927723	Capua	Cattedrale dei Santi Stefano ed Agata	height							18	18	19	19	20	20	25	25	25	25										
364927723	Capua	Cattedrale dei Santi Stefano ed Agata	m3																										
364927723	Capua	Cattedrale dei Santi Stefano ed Agata	guestimate							1	1	1	1	1	1	1	1	1	1										
																													
610581356	Santa Maria Capua Vetere (Santa Maria Capua Vetere)	Basilica di Santa Maria Maggiore	4099.326421	it.wikipedia.org/wiki/Basilica_di_Santa_Maria_Maggiore_(Santa_Maria_Capua_Vetere)	http://www.openstreetmap.org/way/610581356	cathedral	0	41.07576705	14.25581092	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
610581356	Santa Maria Capua Vetere (Santa Maria Capua Vetere)	Basilica di Santa Maria Maggiore	year							432	450	780	820																
610581356	Santa Maria Capua Vetere (Santa Maria Capua Vetere)	Basilica di Santa Maria Maggiore	surface							0	700		1000																
610581356	Santa Maria Capua Vetere (Santa Maria Capua Vetere)	Basilica di Santa Maria Maggiore	height							21	21	21	21																
610581356	Santa Maria Capua Vetere (Santa Maria Capua Vetere)	Basilica di Santa Maria Maggiore	m3																										
610581356	Santa Maria Capua Vetere (Santa Maria Capua Vetere)	Basilica di Santa Maria Maggiore	guestimate							1	1	1	1																
																													
235090595	Schwytz	St. Martin	1223.727317	https://de.wikipedia.org/wiki/Pfarrkirche_St._Martin_(Schwyz)	http://www.openstreetmap.org/way/235090595	parish	0	47.02137149	8.653554013	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
235090595	Schwytz	St. Martin	year							700	750	1000	1020	1118	1122														
235090595	Schwytz	St. Martin	surface							0	180	0	340	0	650														
235090595	Schwytz	St. Martin	height							6	6	8	8	11	11														
235090595	Schwytz	St. Martin	m3																										
235090595	Schwytz	St. Martin	guestimate							1	1	1	1	1	1														
																													
185281223	"Southampton (Hamtun, Hamwic)"	St Mary's Church	1104.115047	"https://en.wikipedia.org/wiki/St._Mary%27s_Church,_Southampton"	http://www.openstreetmap.org/way/185281223	parish	0	50.90279916	-1.395217252	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
185281223	"Southampton (Hamtun, Hamwic)"	St Mary's Church	year							634	650	1100	1200																
185281223	"Southampton (Hamtun, Hamwic)"	St Mary's Church	surface							0	310	0	580																
185281223	"Southampton (Hamtun, Hamwic)"	St Mary's Church	height							8	8	11	11																
185281223	"Southampton (Hamtun, Hamwic)"	St Mary's Church	m3																										
185281223	"Southampton (Hamtun, Hamwic)"	St Mary's Church	guestimate							1	1	1	1																
																													
505291666	Trino	Chiesa Parrocchiale di San Bartolomeo	1176.0096	it.wikipedia.org/wiki/Chiesa_di_San_Bartolomeo_(Trino)	http://www.openstreetmap.org/way/505291666	parish	0	45.19489086	8.297121786	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
505291666	Trino	Chiesa Parrocchiale di San Bartolomeo	year							1200	1300																		
505291666	Trino	Chiesa Parrocchiale di San Bartolomeo	surface							0	1000																		
505291666	Trino	Chiesa Parrocchiale di San Bartolomeo	height							17	17																		
505291666	Trino	Chiesa Parrocchiale di San Bartolomeo	m3																										
505291666	Trino	Chiesa Parrocchiale di San Bartolomeo	guestimate							1	1																		
																													
315314191	Vibo Valentia	Chiesa di Santa Maria Maggiore e San Leoluca	1758.431661	https://it.wikipedia.org/wiki/Chiesa_di_Santa_Maria_Maggiore_e_San_Leoluca	http://www.openstreetmap.org/way/315314191	cathedral	0	38.6773114	16.10704695	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
315314191	Vibo Valentia	Chiesa di Santa Maria Maggiore e San Leoluca	year							800	900	1680	1723																
315314191	Vibo Valentia	Chiesa di Santa Maria Maggiore e San Leoluca	surface							0	1400	0	1800																
315314191	Vibo Valentia	Chiesa di Santa Maria Maggiore e San Leoluca	height							20	20	22	22																
315314191	Vibo Valentia	Chiesa di Santa Maria Maggiore e San Leoluca	m3																										
315314191	Vibo Valentia	Chiesa di Santa Maria Maggiore e San Leoluca	guestimate							1	1	1	1																
																													
276967877	Vlissingen	Grote of St. Jacobskerk	1577.551831	nl.wikipedia.org/wiki/Grote_of_Sint-Jacobskerk_(Vlissingen)	http://www.openstreetmap.org/way/276967877	parish	0	51.44270688	3.574316696	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
276967877	Vlissingen	Grote of St. Jacobskerk	year							1308	1321																		
276967877	Vlissingen	Grote of St. Jacobskerk	surface							0	1600																		
276967877	Vlissingen	Grote of St. Jacobskerk	height							18	18																		
276967877	Vlissingen	Grote of St. Jacobskerk	m3																										
276967877	Vlissingen	Grote of St. Jacobskerk	guestimate							1	1																		
																													
87136680	Windsor	Saint George's Chapel	1362.01307	"https://en.wikipedia.org/wiki/St_George%27s_Chapel,_Windsor_Castle"	http://www.openstreetmap.org/way/87136680	other	0	51.483658	-0.606798594	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
87136680	Windsor	Saint George's Chapel	year							1220	1240	1475	1528																
87136680	Windsor	Saint George's Chapel	surface							0	800		600																
87136680	Windsor	Saint George's Chapel	height							17	17	17	17																
87136680	Windsor	Saint George's Chapel	m3																										
87136680	Windsor	Saint George's Chapel	guestimate							1	1	1	1																
																													
130451079	Windsor	Eton College Chapel	1526.094161	https://en.wikipedia.org/wiki/Eton_College_Chapel	http://www.openstreetmap.org/way/130451079	other	0	51.49155854	-0.6087451	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
130451079	Windsor	Eton College Chapel	year							1440	1460																		
130451079	Windsor	Eton College Chapel	surface							0	1500																		
130451079	Windsor	Eton College Chapel	height							17	17																		
130451079	Windsor	Eton College Chapel	m3																										
130451079	Windsor	Eton College Chapel	guestimate							1	1																		
																													
245651064	diest	sint sulpitiuskerk	2726.869	https://nl.wikipedia.org/wiki/Sint-Sulpitiuskerk_(Diest)	https://www.openstreetmap.org/way/245651064	parish	0	50.98491	5.051087	x	x	x	x	x	x	x	x	x	x	x	x	x							
245651064	diest	sint sulpitiuskerk	year							1321	1534																		
245651064	diest	sint sulpitiuskerk	surface							0	2500																		
245651064	diest	sint sulpitiuskerk	height							23	23																		
245651064	diest	sint sulpitiuskerk	m3																										
245651064	diest	sint sulpitiuskerk	guestimate							0	0																		
																													
450124177	diest	onze lieve vrouwe kerk	1275.121	https://nl.wikipedia.org/wiki/Onze-Lieve-Vrouwekerk_(Diest)	https://www.openstreetmap.org/way/450124177	parish	0	50.98731	5.057093	x	x	x	x	x	x	x	x	x	x	x	x	x							
450124177	diest	onze lieve vrouwe kerk	year							1100	1200	1253	1288																
450124177	diest	onze lieve vrouwe kerk	surface							0	530	0	1000																
450124177	diest	onze lieve vrouwe kerk	height							10	10	14	14																
450124177	diest	onze lieve vrouwe kerk	m3																										
450124177	diest	onze lieve vrouwe kerk	guestimate							1	1	0	0																
																													
532888090	diest	begijhofkerk sint catherina	1112.345	http://www.kerkeninvlaanderen.be/pages/kerk_00357.htm	https://www.openstreetmap.org/way/532888090	other	0	50.98801	5.060825	x	x	x	x	x	x	x	x	x	x	x	x	x							
532888090	diest	begijhofkerk sint catherina	year							1250	1260	1300	1400																
532888090	diest	begijhofkerk sint catherina	surface							0	580	0	1100																
532888090	diest	begijhofkerk sint catherina	height							11	11	15	15																
532888090	diest	begijhofkerk sint catherina	m3																										
532888090	diest	begijhofkerk sint catherina	guestimate							1	1	0	0																
																													
186652835	geraardsbergen	Sint-Bartholomeuskerk	1420.401	https://nl.wikipedia.org/wiki/Sint-Bartholomeuskerk_(Geraardsbergen)	www.openstreetmap.org/way/186652835	parish	0	50.77141	3.883668	x	x	x	x	x	x	x	x	x	x	x	x	x							
186652835	geraardsbergen	Sint-Bartholomeuskerk	year							1100	1200																		
186652835	geraardsbergen	Sint-Bartholomeuskerk	surface							0	390																		
186652835	geraardsbergen	Sint-Bartholomeuskerk	height							6	6																		
186652835	geraardsbergen	Sint-Bartholomeuskerk	m3																										
186652835	geraardsbergen	Sint-Bartholomeuskerk	guestimate							1	1																		
																													
136677965	bethune	st vaast	2123.164	https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Vaast_de_B%C3%A9thune	https://www.openstreetmap.org/way/136677965	parish	0	50.5322	2.6383	x	x	x	x	x	x	x	x	x	x	x	x	x							
136677965	bethune	st vaast	year							700 <	1000	1200																	
136677965	bethune	st vaast	surface							300	0	570																	
136677965	bethune	st vaast	height							8	11	11																	
136677965	bethune	st vaast	m3																										
136677965	bethune	st vaast	guestimate							1	1	1																	
																													
37128921	dole	collegiale notre dame	2519.48	https://fr.wikipedia.org/wiki/Coll%C3%A9giale_Notre-Dame_de_Dole	https://www.openstreetmap.org/way/37128921	other	0	47.0925	5.49472	x	x	x	x	x	x	x	x	x	x	x	x	x							
37128921	dole	collegiale notre dame	year							1304	1330	1509	1571																
37128921	dole	collegiale notre dame	surface							0	1400	0	2700																
37128921	dole	collegiale notre dame	height							17	17	23	23																
37128921	dole	collegiale notre dame	m3																										
37128921	dole	collegiale notre dame	guestimate							1	1	1	1																
																													
90885376	gap	cathedrale saint arnoux	2176.333	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Arnoux_de_Gap	https://www.openstreetmap.org/way/90885376	cathedral	0	44.5582	6.078113	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	
90885376	gap	cathedrale saint arnoux	year							500	600	900	1100																
90885376	gap	cathedrale saint arnoux	surface							0	670	0	1300																
90885376	gap	cathedrale saint arnoux	height							12	12	16	16																
90885376	gap	cathedrale saint arnoux	m3																										
90885376	gap	cathedrale saint arnoux	guestimate							1	1	1	1																
																													
67332918	grasse	cathédrale Notre-Dame-du-Puy de Grasse 	870.61723	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-du-Puy_de_Grasse	https://www.openstreetmap.org/way/67332918	cathedral	0	43.65789	6.924792	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	
67332918	grasse	cathédrale Notre-Dame-du-Puy de Grasse 	year							1200	1300																		
67332918	grasse	cathédrale Notre-Dame-du-Puy de Grasse 	surface							0	530																		
67332918	grasse	cathédrale Notre-Dame-du-Puy de Grasse 	height							8	8																		
67332918	grasse	cathédrale Notre-Dame-du-Puy de Grasse 	m3																										
67332918	grasse	cathédrale Notre-Dame-du-Puy de Grasse 	guestimate							1	1																		
																													
63038103	joigny	st Thibault	975.7648	fr.wikipedia.org/wiki/Église_Saint-Thibault_de_Joigny	https://www.openstreetmap.org/way/63038103	parish	0	47.9831	3.395135	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	
63038103	joigny	st Thibault	year							1080	1100	1490	1800																
63038103	joigny	st Thibault	surface							0	530	0	1000																
63038103	joigny	st Thibault	height							8	8	14	14																
63038103	joigny	st Thibault	m3																										
63038103	joigny	st Thibault	guestimate							1	1	1	1																
																													
95074781	montargis	sainte madeleine	1694.084	https://www.tourismeloiret.com/fr/diffusio/visites/eglise-sainte-marie-madeleine-montargis_TFOPCUCEN045V5014IW	https://www.openstreetmap.org/way/95074781	parish	0	47.99849	2.732532	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	
95074781	montargis	sainte madeleine	year							1100	1200	1526	1618																
95074781	montargis	sainte madeleine	surface							0	840	0	1600																
95074781	montargis	sainte madeleine	height							13	13	18	18																
95074781	montargis	sainte madeleine	m3																										
95074781	montargis	sainte madeleine	guestimate							1	1	1	1																
																													
78224590	morlaix	st mathieu	1067.152	https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Mathieu_de_Morlaix	https://www.openstreetmap.org/way/78224590	parish	0	48.57541	-3.823717	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	
78224590	morlaix	st mathieu	year							1300	1500																		
78224590	morlaix	st mathieu	surface							0	1200																		
78224590	morlaix	st mathieu	height							16	16																		
78224590	morlaix	st mathieu	m3																										
78224590	morlaix	st mathieu	guestimate							1	1																		
																													
78230527	morlaix	st melaine	916.49553	https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Melaine_de_Morlaix	https://www.openstreetmap.org/way/78230527	parish	0	48.57895	-3.828286	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	
78230527	morlaix	st melaine	year							1149	1157	1489	1511																
78230527	morlaix	st melaine	surface							0	530	0	1000																
78230527	morlaix	st melaine	height							8	8	14	14																
78230527	morlaix	st melaine	m3																										
78230527	morlaix	st melaine	guestimate							1	1	1	1																
																													
124614369	roanne	st etienne	1200.864	https://fr.wikipedia.org/wiki/Roanne#Monuments_religieux	https://www.openstreetmap.org/way/124614369	parish	0	46.0397	4.071535	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
124614369	roanne	st etienne	year							1343	1360																		
124614369	roanne	st etienne	surface							0	580																		
124614369	roanne	st etienne	height							11	11																		
124614369	roanne	st etienne	m3																										
124614369	roanne	st etienne	guestimate							1	1																		
																													
63265624	st etienne	grand eglise	1000.182	https://fr.wikipedia.org/wiki/Grand%27%C3%89glise_de_Saint-%C3%89tienne	https://www.openstreetmap.org/way/63265624	parish	0	45.43645	4.385903	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
63265624	st etienne	grand eglise	year							500	600	1310	1340	1469	1486														
63265624	st etienne	grand eglise	surface							0	480	0	900		200														
63265624	st etienne	grand eglise	height							10	10	15	15	15	15														
63265624	st etienne	grand eglise	m3																										
63265624	st etienne	grand eglise	guestimate							1	1	1	1	1	1														
																													
206723646	bernburg	marien kirche	1215.554	https://de.wikipedia.org/wiki/St._Marien_(Bernburg)	https://www.openstreetmap.org/way/206723646	parish	0	51.79962	11.73581	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
206723646	bernburg	marien kirche	year							1230	1250	1350	1400	1420	1440														
206723646	bernburg	marien kirche	surface							0	1000		200		200														
206723646	bernburg	marien kirche	height							16	16	16	16	16	16														
206723646	bernburg	marien kirche	m3																										
206723646	bernburg	marien kirche	guestimate								1	1	1	1	1														
																													
99014007	biberach	st martinus und maria	2002.476	https://de.wikipedia.org/wiki/St._Martin_(Biberach)	https://www.openstreetmap.org/way/99014007	parish	0	48.09868	9.789441	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
99014007	biberach	st martinus und maria	year							600	700	1080	1120	1320	1370	1440	1470												
99014007	biberach	st martinus und maria	surface							0	480	0	900	0	1700		200												
99014007	biberach	st martinus und maria	height							10	10	14	14	20	20	20	20												
99014007	biberach	st martinus und maria	m3																										
99014007	biberach	st martinus und maria	guestimate							1	1	1	1	1	1	1	1												
																													
22770345	dueren	annakirche	1739.546	https://de.wikipedia.org/wiki/Annakirche_(D%C3%BCren)	https://www.openstreetmap.org/way/22770345	parish	0	50.80127	6.483999	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
22770345	dueren	annakirche	year							740	750	850	920	1080	1120	1275	1306												
22770345	dueren	annakirche	surface							0	140	0	280	0	500	0	950												
22770345	dueren	annakirche	height							5	5	8	8	10	10	14	14												
22770345	dueren	annakirche	m3																										
22770345	dueren	annakirche	guestimate							1	1	1	1	1	1	1	1												
																													
102658969	emden	grosse kirche (JaL bibliothek)	1200	https://de.wikipedia.org/wiki/Gro%C3%9Fe_Kirche_(Emden)	https://www.openstreetmap.org/way/102658969	parish	0	53.3654	7.2024	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
102658969	emden	grosse kirche (JaL bibliothek)	year							966	980	1200	1250	1300	1400	1403	1453												
102658969	emden	grosse kirche (JaL bibliothek)	surface							0	500	0	900		200		500												
102658969	emden	grosse kirche (JaL bibliothek)	height							10	10	16	16	16	16	16	16												
102658969	emden	grosse kirche (JaL bibliothek)	m3																										
102658969	emden	grosse kirche (JaL bibliothek)	guestimate							1	1	1	1	1	1	1	1												
																													
26216987	husum	marienkirche	827.2196	https://de.wikipedia.org/wiki/Marienkirche_(Husum)	https://www.openstreetmap.org/way/26216987	parish	0	54.47709	9.052401																				
26216987	husum	marienkirche	year							1448	1510																		
26216987	husum	marienkirche	surface							0	1200																		
26216987	husum	marienkirche	height							0	16																		
26216987	husum	marienkirche	m3																										
26216987	husum	marienkirche	guestimate							1	1																		
																													
198874490	lauingen	sankt martin	1751.622	https://de.wikipedia.org/wiki/Stadtpfarrkirche_St._Martin_(Lauingen)	https://www.openstreetmap.org/way/198874490	parish	0	48.56832	10.42756	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
198874490	lauingen	sankt martin	year							1000	1100																		
198874490	lauingen	sankt martin	surface							0	800																		
198874490	lauingen	sankt martin	height							13	13																		
198874490	lauingen	sankt martin	m3																										
198874490	lauingen	sankt martin	guestimate							1	1																		
																													
109977935	mettmann	st lambertus	896.4879	https://de.wikipedia.org/wiki/St._Lambertus_(Mettmann)	https://www.openstreetmap.org/way/109977935	parish	0	51.25152	6.977083	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
109977935	mettmann	st lambertus	year							1000	1100																		
109977935	mettmann	st lambertus	surface							0	530																		
109977935	mettmann	st lambertus	height							10	10																		
109977935	mettmann	st lambertus	m3																										
109977935	mettmann	st lambertus	guestimate							1	1																		
																													
43225921	siegen	nikolai kirche	860.58	https://de.wikipedia.org/wiki/Nikolaikirche_(Siegen)	https://www.openstreetmap.org/way/43225921	parish	0	50.87485	8.026262	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
43225921	siegen	nikolai kirche	year							1225	1250	1400	1440																
43225921	siegen	nikolai kirche	surface							0	900		100																
43225921	siegen	nikolai kirche	height							14	14	14	14																
43225921	siegen	nikolai kirche	m3																										
43225921	siegen	nikolai kirche	guestimate							1	1	1	1																
																													
34667153	zwickau	st marienkirche	1797.86	https://de.wikipedia.org/wiki/St._Marien_(Zwickau)	https://www.openstreetmap.org/way/34667153	parish	0	50.7179	12.4952	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
34667153	zwickau	st marienkirche	year							1160	1200	1453	1563																
34667153	zwickau	st marienkirche	surface							0	850	0	1600																
34667153	zwickau	st marienkirche	height							13	13	18	18																
34667153	zwickau	st marienkirche	m3																										
34667153	zwickau	st marienkirche	guestimate							1	1	1	1																
																													
302419118	leeuwarden	grote of jacobijnerkerk	1423.697	https://nl.wikipedia.org/wiki/Grote_of_Jacobijnerkerk	https://www.openstreetmap.org/way/302419118	coventual	1	53.20417	5.797398	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
302419118	leeuwarden	grote of jacobijnerkerk	year							1275	1310	1393	1410	1480	1500														
302419118	leeuwarden	grote of jacobijnerkerk	surface							0	800	0	1300		200														
302419118	leeuwarden	grote of jacobijnerkerk	height							13	13	17	17	17	17														
302419118	leeuwarden	grote of jacobijnerkerk	m3																										
302419118	leeuwarden	grote of jacobijnerkerk	guestimate							1	1	1	1	1	1														
																													
33487840	zierikzee	st lievenskerk	1500	https://nl.wikipedia.org/wiki/Sint-Lievensmonstertoren	https://www.openstreetmap.org/way/33487840	parish	0	51.6503	3.9144	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
33487840	zierikzee	st lievenskerk	year							950	1000	1150	1180	1378	1390	1425	1520												
33487840	zierikzee	st lievenskerk	surface							0	530	0	1000		300		100												
33487840	zierikzee	st lievenskerk	height							8	8	17	17	17	17	17	17												
33487840	zierikzee	st lievenskerk	m3																										
33487840	zierikzee	st lievenskerk	guestimate							1	1	1	1	1	1	1	1												
																													
33604508	colchester	st botolph's priory	1100	https://en.wikipedia.org/wiki/St._Botolph%27s_Priory	https://www.openstreetmap.org/way/33604508	conventual	1	51.8874	0.9046	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
33604508	colchester	st botolph's priory	year							700	800	1093	1150																
33604508	colchester	st botolph's priory	surface							0	580	0	1100																
33604508	colchester	st botolph's priory	height							11	11	15	15																
33604508	colchester	st botolph's priory	m3																										
33604508	colchester	st botolph's priory	guestimate							1	1	1	1																
																													
2296675	dundee	st mary's/steeple	1900	https://en.wikipedia.org/wiki/Dundee_Parish_Church_(St_Mary%27s)	https://www.openstreetmap.org/relation/2296675	parish	0	56.4596	-2.972	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
2296675	dundee	st mary's/steeple	year							1192	1220	1304	1340																
2296675	dundee	st mary's/steeple	surface							0	530	0	1000																
2296675	dundee	st mary's/steeple	height							8	8	14	14																
2296675	dundee	st mary's/steeple	m3																										
2296675	dundee	st mary's/steeple	guestimate							1	1	1	1																
																													
59194384	northampton	all saints	1110.505	"https://en.wikipedia.org/wiki/All_Saints%27_Church,_Northampton"	https://www.openstreetmap.org/way/59194384	parish	0	52.23705	-0.8964881	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
59194384	northampton	all saints	year							1100	1150																		
59194384	northampton	all saints	surface							0	640																		
59194384	northampton	all saints	height							11	11																		
59194384	northampton	all saints	m3																										
59194384	northampton	all saints	guestimate							1	1																		
																													
59194382	northampton	sepulchre	923.5717	"https://en.wikipedia.org/wiki/The_Holy_Sepulchre,_Northampton"	https://www.openstreetmap.org/way/59194382	parish	0	52.24149	-0.89733	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
59194382	northampton	sepulchre	year							1100	1120	1180	1185	1275	1280	1420	1425												
59194382	northampton	sepulchre	surface							0	500		200		200		100												
59194382	northampton	sepulchre	height							14	14	14	14	14	14	14	14												
59194382	northampton	sepulchre	m3																										
59194382	northampton	sepulchre	guestimate							1	1	1	1	1	1	1	1												
																													
60840579	rotherham	rotherham minster	1056.646	"https://en.wikipedia.org/wiki/All_Saints_Church,_Rotherham"	https://www.openstreetmap.org/way/60840579	parish	0	53.43095	-1.356707	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				
60840579	rotherham	rotherham minster	year							900	1000	1100	1150	1300	1400	1420	1480												
60840579	rotherham	rotherham minster	surface							0	320	0	600	0	900		200												
60840579	rotherham	rotherham minster	height							8	8	11	11	15	15	15	15												
60840579	rotherham	rotherham minster	m3																										
60840579	rotherham	rotherham minster	guestimate							1	1	1	1	1	1	1	1												
